30	4
刘智勇	201901    80             86             69             80             78.75       315         
田实好	201902    66             76             80             53             68.75       275         
曹月	201903    70             91             83             61             76.25       305         
高稀薄	201904    66             88             65             90             77.25       309         
河灵	201905    99             99             75             98             92.75       371         
曹配琛	201906    57             43             91             55             61.50       246         
欧阳雩	201907    64             60             95             64             70.75       283         
于飞	201908    78             80             80             72             77.50       310         
谢灵泉	201909    66             87             55             80             72.00       288         
张雨霏	201910    91             96             66             83             84.00       336         
王冰冰	201911    73             51             67             91             70.50       282         
钟瑞	201912    86             88             90             97             90.25       361         
田羽然	201913    82             83             52             53             67.50       270         
汤利达	201914    61             65             51             60             59.25       237         
龙勇军	201915    43             79             77             75             68.50       274         
熊成礼	201916    94             71             92             60             79.25       317         
万锐精	201917    89             65             66             66             71.50       286         
张晓宇	201918    87             68             53             73             70.25       281         
罗辑	201919    85             94             70             79             82.00       328         
曹家韩	201920    68             89             91             82             82.50       330         
常肖	201921    79             85             55             86             76.25       305         
陈俊海	201922    80             75             93             91             84.75       339         
陈阳	201923    65             76             53             50             61.00       244         
董小涵	201924    75             82             82             73             78.00       312         
方年年	201925    82             95             83             61             80.25       321         
龚阵雨	201926    86             61             79             80             76.50       306         
李好	201927    94             73             89             90             86.50       346         
华抄	201928    96             86             85             73             85.00       340         
黄制品	201929    69             71             84             95             79.75       319         
刘长青	201930    80             90             88             73             82.75       331         
